InvoiceNo,StockCode,Description,Quantity,UnitPrice,TotalLinea,InvoiceDate,Anio,Mes,NombreMes,DiaSemana,EsFinDeSemana,RangoPrecio,CustomerID,Country
112915,20801,SMALL PINK BUFFALO CHECK CASE,6,3.5,21.0,2011-01-01 06:36:00,2011,1,January,Saturday,1,Barato,15713,United Kingdom
112915,20813,3D HEART DECORATION RIBBON,2,1.6,3.2,2011-01-01 06:36:00,2011,1,January,Saturday,1,Barato,15713,United Kingdom
112915,20844,"MUG, GREEN AND YELLOW SPOTS",72,1.14,82.08,2011-01-01 06:36:00,2011,1,January,Saturday,1,Barato,15713,United Kingdom
112915,20870,CHRISTMAS CARD COLOURED SNOWMAN,12,1.34,16.08,2011-01-01 06:36:00,2011,1,January,Saturday,1,Barato,15713,United Kingdom
112915,20873,"FIRST CLASS HOLIDAY CARD, PACK OF 8",10,1.57,15.7,2011-01-01 06:36:00,2011,1,January,Saturday,1,Barato,15713,United Kingdom
112915,20992,JUMBO BAG PEARS,100,2.38,238.0,2011-01-01 06:36:00,2011,1,January,Saturday,1,Barato,15713,United Kingdom
105298,20726,LUNCH BAG WOODLAND,10,1.73,17.3,2011-01-01 07:36:00,2011,1,January,Saturday,1,Barato,14448,Italy
105298,20728,LUNCH BAG CARS BLUE,6,1.9,11.4,2011-01-01 07:36:00,2011,1,January,Saturday,1,Barato,14448,Italy
105298,20767,MONEY BOX 3D METAL SANTAS GROTTO,2,6.98,13.96,2011-01-01 07:36:00,2011,1,January,Saturday,1,Medio,14448,Italy
105298,20768,MONEY BOX 3D METAL REINDEER,2,6.8,13.6,2011-01-01 07:36:00,2011,1,January,Saturday,1,Medio,14448,Italy
105298,20814,3D STAR DECORATION RIBBON,30,1.92,57.6,2011-01-01 07:36:00,2011,1,January,Saturday,1,Barato,14448,Italy
105298,20836,JAM JAR WITH WHITE LID,100,3.71,371.0,2011-01-01 07:36:00,2011,1,January,Saturday,1,Barato,14448,Italy
105298,20849,"CAKE PLATE, WHITE, 20 CM",2,8.56,17.12,2011-01-01 07:36:00,2011,1,January,Saturday,1,Medio,14448,Italy
105298,20879,RED RETROSPOT WRAP,2,1.11,2.22,2011-01-01 07:36:00,2011,1,January,Saturday,1,Barato,14448,Italy
105298,20973,BLUE PINK FELT CRAFT TRINKET POT,48,1.23,59.04,2011-01-01 07:36:00,2011,1,January,Saturday,1,Barato,14448,Italy
