CustomerID,Num_Facturas,Total_Gastado,Ticket_Medio_Cliente,Country
14281,4,7457.45,88.78,Singapore
14281,4,7457.45,88.78,United Kingdom
14281,4,7457.45,88.78,Lebanon
12994,1,6133.44,211.5,United Kingdom
12688,4,6118.1,79.46,Netherlands
12688,4,6118.1,79.46,United Kingdom
12688,4,6118.1,79.46,Germany
14696,4,5413.58,82.02,United Kingdom
14696,4,5413.58,82.02,Netherlands
15001,5,5241.11,63.92,Netherlands
15001,5,5241.11,63.92,United Kingdom
12497,3,5077.6,79.34,United Arab Emirates
12497,3,5077.6,79.34,United Kingdom
13107,1,4903.01,233.48,Belgium
14348,2,4797.39,129.66,Portugal
14348,2,4797.39,129.66,Norway
13001,4,4520.38,68.49,Norway
13001,4,4520.38,68.49,Sweden
13001,4,4520.38,68.49,United Kingdom
15774,5,4486.22,54.05,Greece
15774,5,4486.22,54.05,Netherlands
15774,5,4486.22,54.05,Norway
15774,5,4486.22,54.05,United Kingdom
14941,3,4431.94,80.58,United Kingdom
14941,3,4431.94,80.58,Japan
13924,2,4381.0,118.41,United Kingdom
13507,2,4352.14,83.7,Greece
13507,2,4352.14,83.7,United Kingdom
14141,4,4316.73,75.73,Norway
14141,4,4316.73,75.73,France
14141,4,4316.73,75.73,United Kingdom
14208,2,4294.22,214.71,United Kingdom
14275,3,4205.82,56.08,Belgium
14275,3,4205.82,56.08,Sweden
14275,3,4205.82,56.08,United Kingdom
15788,3,4169.21,51.47,Sweden
15788,3,4169.21,51.47,United Kingdom
15648,2,4084.35,97.25,United Kingdom
15648,2,4084.35,97.25,Japan
14733,2,4064.25,76.68,United Kingdom
12905,5,3915.53,51.52,Lithuania
12905,5,3915.53,51.52,United Kingdom
12681,3,3863.82,99.07,Italy
12681,3,3863.82,99.07,United Kingdom
14759,2,3849.1,67.53,United Kingdom
14759,2,3849.1,67.53,Canada
12652,1,3837.66,319.81,United Kingdom
14462,2,3827.2,81.43,United Kingdom
14462,2,3827.2,81.43,Hong Kong
15125,1,3810.88,152.44,United Kingdom
13114,3,3764.69,68.45,Italy
13114,3,3764.69,68.45,United Kingdom
14291,3,3760.3,75.21,France
14291,3,3760.3,75.21,United Kingdom
14195,3,3740.62,55.01,Norway
14195,3,3740.62,55.01,United Kingdom
14195,3,3740.62,55.01,USA
14245,2,3728.76,95.61,United Kingdom
15127,3,3547.51,66.93,Czech Republic
15127,3,3547.51,66.93,United Kingdom
13036,2,3537.7,75.27,United Kingdom
12686,1,3514.2,146.43,Norway
15156,2,3496.59,89.66,United Kingdom
15296,1,3445.22,143.55,Hong Kong
12552,4,3443.74,90.62,Australia
12552,4,3443.74,90.62,United Kingdom
12552,4,3443.74,90.62,Finland
12440,4,3439.86,57.33,Spain
12440,4,3439.86,57.33,Belgium
12440,4,3439.86,57.33,Portugal
12440,4,3439.86,57.33,United Kingdom
12832,2,3435.7,122.7,United Kingdom
12793,3,3421.02,77.75,Czech Republic
12793,3,3421.02,77.75,United Kingdom
14656,2,3414.54,89.86,United Kingdom
13916,1,3397.76,135.91,United Kingdom
14324,1,3382.68,211.42,United Kingdom
12763,3,3371.54,70.24,United Kingdom
12722,1,3369.15,177.32,United Kingdom
12533,3,3367.16,78.31,Hong Kong
12533,3,3367.16,78.31,United Kingdom
14553,2,3353.29,111.78,Switzerland
14553,2,3353.29,111.78,Norway
12812,1,3345.5,111.52,Czech Republic
14716,3,3330.5,53.72,United Kingdom
14716,3,3330.5,53.72,Portugal
14716,3,3330.5,53.72,Greece
14542,1,3291.3,149.6,United Kingdom
14182,3,3263.49,59.34,United Kingdom
14972,3,3246.22,60.12,Brazil
14972,3,3246.22,60.12,Japan
14972,3,3246.22,60.12,United Kingdom
14432,3,3204.69,65.4,Lebanon
14432,3,3204.69,65.4,United Kingdom
14432,3,3204.69,65.4,France
13969,2,3200.83,96.99,France
13969,2,3200.83,96.99,Iceland
12846,2,3196.91,139.0,Israel
12846,2,3196.91,139.0,Canada
13513,1,3176.16,117.64,United Kingdom
