Country,CustomerID,TotalGastado,Ranking_Pais,RowNum_Pais
Australia,14422,1848.92,1,1
Australia,15223,1600.37,2,2
Australia,14953,1563.82,3,3
Austria,13430,1374.36,1,1
Austria,13731,1327.28,2,2
Austria,15191,1244.48,3,3
Bahrain,14084,2504.58,1,1
Bahrain,15662,1992.94,2,2
Bahrain,15497,1795.96,3,3
Belgium,13107,4903.01,1,1
Belgium,14138,2338.13,2,2
Belgium,15141,1826.79,3,3
Brazil,14972,1463.66,1,1
Brazil,14327,1326.76,2,2
Brazil,14352,1227.8,3,3
Canada,12846,2396.37,1,1
Canada,13077,2348.0,2,2
Canada,14759,2079.3,3,3
Czech Republic,12812,3345.5,1,1
Czech Republic,14722,2925.94,2,2
Czech Republic,12637,2126.69,3,3
Denmark,13242,1859.63,1,1
Denmark,14990,1489.44,2,2
Denmark,12409,1436.61,3,3
Finland,14988,1846.98,1,1
Finland,13895,1681.95,2,2
Finland,13283,1586.39,3,3
France,15260,2656.71,1,1
France,14013,2204.58,2,2
France,15388,2204.22,3,3
Germany,13584,3042.07,1,1
Germany,14991,2546.6,2,2
Germany,12688,2199.17,3,3
Greece,15108,1708.3,1,1
Greece,13422,1589.08,2,2
Greece,15167,1307.58,3,3
Hong Kong,15296,3445.22,1,1
Hong Kong,14462,2401.18,2,2
Hong Kong,12576,1978.03,3,3
Iceland,14924,2022.14,1,1
Iceland,14647,1973.97,2,2
Iceland,13969,1805.12,3,3
Israel,15171,1626.39,1,1
Israel,13970,1313.65,2,2
Israel,15272,1110.07,3,3
Italy,13343,3038.57,1,1
Italy,15836,2899.73,2,2
Italy,14018,2334.47,3,3
Japan,13972,2892.59,1,1
Japan,14941,2434.7,2,2
Japan,15818,2077.91,3,3
Lebanon,12775,2684.4,1,1
Lebanon,14432,2171.58,2,2
Lebanon,15791,1878.0,3,3
Lithuania,12839,2351.16,1,1
Lithuania,13354,1957.53,2,2
Lithuania,14956,1705.12,3,3
Malta,13858,1448.18,1,1
Malta,13806,1310.14,2,2
Malta,13586,1145.78,3,3
Netherlands,14696,2661.22,1,1
Netherlands,12854,1623.19,2,2
Netherlands,13385,1620.46,3,3
Norway,14348,4162.35,1,1
Norway,12686,3514.2,2,2
Norway,15307,2189.54,3,3
Portugal,15097,2781.17,1,1
Portugal,12730,1979.76,2,2
Portugal,12981,1677.35,3,3
Saudi Arabia,12824,2466.05,1,1
Saudi Arabia,15311,2226.83,2,2
Saudi Arabia,12358,1214.4,3,3
Singapore,15605,2425.48,1,1
Singapore,13358,2277.56,2,2
Singapore,14281,2199.37,3,3
Spain,12903,1524.44,1,1
Spain,13291,1520.18,2,2
Spain,14355,1463.41,3,3
Sweden,12808,2894.97,1,1
Sweden,14047,2320.39,2,2
Sweden,12516,2182.01,3,3
Switzerland,14553,2520.24,1,1
Switzerland,13598,2145.43,2,2
Switzerland,15489,1921.33,3,3
USA,14793,1614.27,1,1
USA,12532,1566.62,2,2
USA,12760,1383.18,3,3
United Arab Emirates,14265,2262.95,1,1
United Arab Emirates,14790,1987.68,2,2
United Arab Emirates,15261,1984.24,3,3
United Kingdom,12994,6133.44,1,1
United Kingdom,15001,4519.42,2,2
United Kingdom,13924,4381.0,3,3
